PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
231810,231810,0,59400,59277,50543.9,5945.0,5092,509901,69956.5,3325.2,3175.0,2861,24189,730.8,45818.2,1047.0,9,503294,69870.1,1496.7,1472.0,1280,2208,174.4,cudaLaunchKernel,"void convert_unary<float, __half>(const void *, T2 *, long)"
231810,231810,1,12375,12363,50489.8,52320.0,5817,1603803,15427.8,3596.7,3318.0,3085,1603803,14407.4,45291.4,47285.0,274,58957,6611.2,1646.1,1632.0,1568,1888,30.3,cudaLaunchKernel,"k_fused_softplus(int, int, const float *, const float *, const float *, float *)"
231810,231810,1,59400,59347,50296.6,7333.0,6049,1533306,69221.1,3450.4,3263.0,3000,1532897,6317.1,44961.7,2190.0,24,496757,68916.9,1925.7,1920.0,1824,2016,20.8,cudaLaunchKernelExC_v11060,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
231810,231810,0,12375,12360,48135.1,47273.0,12045,419304,33182.0,3886.7,3674.0,3385,20427,871.0,33737.7,35853.0,248,45715,8298.7,10552.3,7584.0,5728,391231,33498.0,cudaLaunchKernel,"void delta_net_recurrent_f32<(int)128, (int)256>(const float *, const float *, const float *, const float *, const float *, const float *, float *, long, long, int, long, long, long, int, unsigned long, unsigned long, unsigned long)"
231810,231810,0,59400,59295,48036.0,8482.5,7751,496707,66582.1,3331.8,3184.0,2922,50904,775.5,40549.4,1120.0,5,487780,66452.7,4228.4,3968.0,3872,5472,356.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_75_wmma_tensorop_h161616gemm_16x16_128x2_tn_align8>(T1::Params)
231810,231810,0,12375,12360,47853.0,47128.0,9238,421649,33218.5,3622.0,3441.0,3095,20693,759.0,39633.1,38961.5,419,412985,33190.7,4646.5,4640.0,4575,5280,56.6,cudaLaunchKernel,"concat_f32_dim0(const float *, const float *, float *, long, long)"
231810,231810,0,59400,59286,46848.7,7299.0,6024,1568192,66772.2,3527.8,3290.0,2961,1567085,6467.6,41483.8,2142.0,4,487753,66442.7,1917.9,1920.0,1824,1984,21.6,cudaLaunchKernelExC_v11060,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __half, __half, __half, __half, (bool)0, __half, __half, __half, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
231810,231810,0,24468,24444,45662.3,47597.5,5593,63467,8318.4,3434.0,3301.0,2949,37465,773.5,40566.7,42502.0,245,58449,8350.9,1701.7,1696.0,1631,1792,34.9,cudaLaunchKernel,"void l2_norm_f32<(int)256>(const float *, float *, int, float)"
231810,231810,0,59400,59266,43750.7,5836.0,5199,1133715,65704.7,3395.3,3224.0,3003,1133715,4757.8,39086.3,1087.0,17,482616,65555.3,1358.6,1344.0,1279,1632,64.2,cudaLaunchKernel,"void convert_unary<__half, float>(const void *, T2 *, long)"
231810,231810,0,12375,12360,41858.8,43884.0,5917,143315,8260.0,3568.6,3410.0,3155,143315,1466.0,36698.9,38786.0,238,53107,8324.8,1636.3,1632.0,1568,1952,32.2,cudaLaunchKernel,"k_fused_softplus(int, int, const float *, const float *, const float *, float *)"
231810,231810,1,186,186,32175.1,13631.5,11521,71509,22727.7,3816.7,3595.5,3206,6307,655.2,21078.9,1028.5,533,60960,23129.6,7279.5,7328.0,6880,7936,200.3,cudaLaunchKernel,"scale_f32(const float *, float *, float, float, long)"
231810,231810,1,282,282,31563.7,33601.5,6261,43059,5343.2,3717.5,3305.5,2988,18973,1298.3,24247.6,26028.0,917,34173,5719.6,3598.6,4256.0,1728,4960,1214.0,cudaLaunchKernel,"void l2_norm_f32_nc<(int)32>(const float *, float *, int, long, long, long, float)"
231810,231810,0,186,186,29463.5,13860.5,11434,66844,20285.4,3887.2,3623.0,3228,9684,778.5,18264.1,1009.0,560,56437,20656.2,7312.1,7344.0,6912,8192,224.9,cudaLaunchKernel,"scale_f32(const float *, float *, float, float, long)"
231810,231810,0,282,282,29068.4,30361.0,8953,36649,6104.6,3858.0,3423.0,3018,19511,1468.6,21614.8,23481.0,336,28872,5793.4,3595.7,4240.0,1728,4896,1216.5,cudaLaunchKernel,"void l2_norm_f32_nc<(int)32>(const float *, float *, int, long, long, long, float)"
231810,231810,1,33261,33195,10794.1,9412.0,8803,1538062,15942.2,3663.7,3419.0,3046,1535078,8447.6,2399.6,1335.0,22,217570,13373.1,4741.1,4640.0,4288,15904,921.0,cudaLaunchKernel,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
231810,231810,0,33003,32666,10202.2,9906.0,9182,40540,1753.8,4489.4,4198.0,3830,38378,1741.9,1032.3,1023.0,35,1726,216.3,4716.8,4640.0,4288,15712,895.5,cudaLaunchKernel,"void fused_rms_norm_f32<(int)1024, float>(const T2 *, const float *, float *, int, float)"
231810,231810,1,16383,16336,6900.8,6833.0,5675,50273,701.0,3459.1,3317.0,3071,50273,827.2,1860.8,1891.0,170,6862,296.3,1589.2,1600.0,1536,1792,23.4,cudaLaunchKernel,"quantize_q8_1(const float *, void *, long, long)"
231810,231810,0,16383,16351,6417.1,6304.0,5747,24458,742.4,3610.0,3453.0,3128,22109,815.6,1210.9,1156.0,29,2356,273.5,1600.5,1600.0,1536,1760,27.0,cudaLaunchKernel,"quantize_q8_1(const float *, void *, long, long)"
